,date,tweet,dirty_tweet
72,2019-03-09 06:19:38,T4018 sir Amidst all the fun love and talk we also have a selfie video together Book your tickets for today,"T4018 - एक ऐतिहासिक पल @SrBachchan sir के साथ | Amidst all the fun, love and talk...we also have a selfie video together!

Book your tickets for today:
@bookmyshow: https://t.co/uFe7MVDJ7c  
@Paytm: https://t.co/HqCdo7znQE https://t.co/Ak5h3ZUidE"
73,2019-03-08 21:35:46,sir aapko mil jaaye naukri toh mujhe bhi recommend kar dena,@SrBachchan sir aapko mil jaaye naukri toh mujhe bhi recommend kar dena.
74,2019-03-08 16:06:56,The man who made Elections exciting to watch amp follow when we were young TheVerdict by the man who gave a new meaning to Swing Pre order here,The man who made Elections exciting to watch &amp; follow when we were young. #TheVerdict by the man who gave a new meaning to ‘Swing’ @PrannoyRoyNDTV @PenguinIndia @ndtv Pre order here
75,2019-03-08 15:54:10,Am so glad ppl r liking the film Huge thanks to g GauravVerma,Am so glad ppl r liking the film. Huge thanks to @sujoy_g  @SunirKheterpal @PuriAkshai @_GauravVerma  https://t.co/zsrORo4PuQ
76,2019-03-08 13:53:56,RT Badla BadlaReview BadlaTo,"RT @RedChilliesEnt: ‘बदला’ पूरी तरह से एक कसी हुई फ़िल्म है, देखिए और क्या क्या कहा जा रहा हैं #Badla की तारीफ़ में | #BadlaReview #BadlaTo…"
77,2019-03-08 13:53:53,RT A fast paced thriller with fine performances Have you watched this gripping story yet Book your tickets now,"RT @RedChilliesEnt: A fast-paced thriller with fine performances! 
Have you watched this gripping story yet?

Book your tickets now!
@bookm…"
78,2019-03-08 13:52:45,RT Thrilling and gripping The critics have all things good to say about Badla BadlaReview BadlaToday Have you got y,"RT @RedChilliesEnt: Thrilling and gripping! The critics have all things good to say about #Badla! #BadlaReview #BadlaToday 

Have you got y…"
79,2019-03-08 10:35:49,BadlaToday,#BadlaToday https://t.co/SkCa5H7Kzw
80,2019-03-06 11:36:11,Thank u for the awkwardest ode to me Aapne Expose kar diya Sirrrr Badumbaaaa,Thank u @SrBachchan for the awkwardest ‘ode’ to me. Aapne Expose kar diya Sirrrr!! Badumbaaaa!! https://t.co/XprHrgYw6W
81,2019-03-04 08:20:29,This was so much happiness,This was so much happiness.  https://t.co/NWUBJTMrNQ
82,2019-03-01 10:41:12,There is no better feeling than Coming back Home for home is the place of love hope amp dreams Ur bravery makes us stronger Eternally grateful WelcomeBackAbhinandan,"There is no better feeling than Coming back Home, for home is the place of love, hope &amp; dreams. Ur bravery makes us stronger. Eternally grateful. #WelcomeBackAbhinandan https://t.co/NFTRINu6Mw"
