,tweet
74,"So from what I'm reading here, Donald Trump won tonight's debate."
75,"Shane Piche, NY school bus driver, raped 14 yr old – PROBATION

Joseph Meili raped 11 yr old – PROBATION

Justin Schneider kidnapped, &amp; raped a woman – PROBATION

Donald Trump raped or assaulted 22 women – NOTHING

Albert Wilson kissed 17 yr old white girl, he was 20 - 12 YEARS https://t.co/5rrxFSFI6X"
76,@ozoxanime @karlak916 @EricJoh37288055 @Kellie2727Paula @mark_selby723 @hotblondtrouble @BarbietheBrain @IrmaBel53130008 @cathyspartanj @Darkebrood @Education4Libs @goldendoekd @RKBA_NJ @ConservBlog @realDonaldTrump @RED_IN_PA @QueenOfTheGOP @RyderLong2 @ArlemisBlack There is nothing better than Trump women! IFB 👍🇺🇸 https://t.co/PlTsuFTqRU
77,"Great interview and this is so true!! Trump is way worse than Nixon, and I say that knowing all the evidence against Nixon but only some of what is knowable about 45. https://t.co/IqUoYxsjtk"
78,"Let's be clear, when Donny Deutsch angrily says Warren wouldn't do well because we need a ""stronger strength"" on the debate stage with Trump, he means ""a man."" 

Calling these dog whistles for what they are."
79,"When Trump starts speaking Russian during the debate season, someone should definitely look into that."
80,@DonaldJTrumpJr Don't worry Donny I'm sure the Republican's Government Citbank Card is still in great standing and working fine for your family and trump org guests!
81,"....They came to me asking for help, and I got Criminal Justice Reform passed, with help from both Republicans and Democrats. Many said that nobody but President Trump could have done this. All previous administrations failed. Please ask why THEY failed to the candidates!"
82,"It's not a question of ""left,"" ""center,"" or ""right."" Pay attention to character, temperament, and thoughtfulness. Trump has the worst of these qualities of any president in modern history. America will vote for the opposite, the candidate who exhibits the best of these traits."
83,"Fuck alabama. Fuck Ice, Fuck the police but I fuck with the fair , right minded cops. oh and Fuck Trump.  These laws are getting sicker and sicker. soon enough females gonna be raped and alabama gonna see it as a righteous and pure act. sick. https://t.co/DCj83SgOAi"
84,@cvpayne Trump
85,"""This is unacceptable and the Tariffs must be withdrawn!” said @realDonaldTrump ahead of his meeting with @narendramodi

https://t.co/a2aDJpribR"
86,@EricTrump Isn't that the shuttle to tRump university?
87,"Turns out Trump was right about committing a violent crime on 5th Ave. He rapes a woman at Bergdorf’s &amp; no one seems to care. Hopefully, starting July 17, when his mountain of Federal Crimes are made public, America will begin to care. #ImpeachmentInquiryNow"
88,"Wow, @Lawrence and @DonnyDeutsch got into a heated argument over Donny's belief that Warren would lose to Trump."
89,"1. Good debate 
2. Lots of substance 
3. My unscientific twitter says best performers were Warren, Castro, Booker
4. Science says worst performer was NBC sound team
5. They are all better than Donald J Trump 
6. Buenas noches"
90,"Raise your hand if after watching #DemDebate you think Donald Trump will be re-elected.🙋‍♂️

#DemocraticDebate"
91,Trump is gonna win by such a massive landslide over this collection of lunatic losers that even they usual cheating won't matter.
92,"1. Good debate 
2. Lots of substance 
3. My unscientific twitter says best performers were Warren, Castro, Booker
4. Science says worst performer was NBC sound team
5. They are all better than Donald J Trump 
6. Buenas noches"
93,"Trump said what he talks about with Putin is ""none of your business.""

Their previous meetings, under investigation by Congress, Trump destroyed translators' notes afterwards and met without any U.S. officials present another time.

https://t.co/06RCJqoNUd"
94,@LindseyGrahamSC @LarrySchweikart Trump 2036!
95,"The @GOP just keeps lying for the Putin/Trump/Barr administration. She’s a dingbat that continually breaks the law. Contrary to the lawless opinion of Putin’s Party (GOP), no one is above the law! #RIPGOP2020 #RIPTrump2020 https://t.co/nAQe6BGrzi"
96,おいおい、安倍さんの仲介は何だったの？「緊張緩和」どころか「緊張増幅」。https://t.co/d9cVmTh3IA
97,"Trump tells a reporter that what he says to Putin during their upcoming meeting ""is none of your business."" https://t.co/OOWjP4yk5J"
98,"“You can’t just make this all about Donald Trump. He’s an old show that people are getting tired of,” Elizabeth Warren says when Chris Matthews asks how she’d take him on as nominee. She argues that voters want to hear instead about her policy plans."
99,@sailerdanray @DonaldJTrumpJr The dems honor is that they aren’t traitors hugging The flag like trump but kissing dictators like Putin and Kim is not honor
100,"November: CARAVAN AT BORDER CRISIS! 

December: KIDS ARE DYING IN BORDER PATROL CUSTODY CRISIS!

January: there's no border emergency, Trump is lying and grabbing power like a dictator everything is fine"
101,"The Prez of the #US has been accused of rape. Yet there’s deafening silence from the #MeTooMovement. If U were an athlete, tvhost, or actor accused of rape, could U keep your job?! We heard more noise about #TheChi actor, #RKelly &amp; politicians who’ve had to resign than #Trump..."
102,"If an American president had said this during the Cold War he would have been called before Congress and, if he persisted with this attitude, removed from office within a week. We did not tolerate traitors.
The House needs to impeach @realDonaldTrump NOW!

https://t.co/sjxCgmDvYd"
103,"New HuffPost/YouGov poll: About half of America had no idea that the president was accused of sexual assault last week. Just 11% said they'd heard a lot about it.
 
https://t.co/t8tgHRKIjM"
104,@Cernovich Trump
105,"A waitress spit on Eric Trump while he was having dinner in Chicago on Tuesday night, a spokesperson for the Trump Organization said https://t.co/w56IgtqbR2"
106,"The #DemDebate shows that we can strive for better than Donald Trump and his enablers. We must restore dignity and honor to the presidency––not just by winning in 2020, but by impeaching @realdonaldtrump."
107,"Mass Media is starting to fail and they don't know what to do? The American people are bored with the overwhelming and never ending, bashing of President Trump. So they are bored with the Media."
108,"In 38 minutes, the Democrats have talked about more policy than Trump has in the past 38 weeks. #DemDebate"
109,"White House trade hawk Navarro joins Trump for G-20, raising stakes for talks with China -- via @damianpaletta https://t.co/MckIHZudqE"
110,"If an American president had said this during the Cold War he would have been called before Congress and, if he persisted with this attitude, removed from office within a week. We did not tolerate traitors.
The House needs to impeach @realDonaldTrump NOW!

https://t.co/sjxCgmDvYd"
111,".@K_JeanPierre on Trump's reaction to the photo of father and daughter in the Rio Grande: ""Donald Trump has been very clear on his immigration policy... It is just infuriating to see."" #MTPDaily"
112,"Latest Trump Accuser:  “This is was not sexual, I think most people think of rape as being SEXY” 

Anderson Cooper the joke is on y’all now! When will CNN learn ? 

This is exactly why I’m voting for Trump in 2020! Who’s with me ? https://t.co/ATS6aiG7Ns"
113,"@LindseyGrahamSC @MaggieDe3 Prison terms. ✅

Idiot tRump created the crisis by separating children from families and putting all children in #tRumpConcentrationCamps

#tRumpPrison2020 🍊💩🤡

#bardprescale 🐐💩🤡"
114,#Trump and his national concentration camp are happy to see this fulfillment of #TrumpZeroTolerancePolicy of cruelty and white-supremacy! https://t.co/fv7qODqwUN
115,"""Mueller reached an indisputable conclusion that Trump, his aides, and his family lied often and profoundly about their interactions with Russia. This has been routinely overlooked in the post-Mueller media storm.""

@DavidCornDC with an essential reminder: https://t.co/r8KLpXQITw"
116,#Trump tweeted that tonight’s #DemocraticDebate was boring. As if we aren’t aware that’s how he feels about anything he can’t eat or fuck.
117,"Congrats to the Democratic Debate winner, Donald Trump. Only a year and a half more of this before the election!"
118,Donald Trump’s shitshow sinks to a whole new low  https://t.co/W3qAioh2GV
119,@Nidhi Is Trump ruling India ? What stupidity is this ! ?
120,"This is the exchange, via Eight by Eight Magazine, that upset Trump:

Q: ""Are you excited about going to the White House?""

Megan Rapinoe: ""I'm not going to the fucking White House."" https://t.co/Tszi0Kj81f"
121,@PaulBegala Of course they do - we all do. We need to delineate between 25 candidates now - talking issues. The time to talk Trump will come. Everybody knows he’s public enemy #1.
122,@marwilliamson Soy irrelevante porque Trump ganará en 2020
123,"This. Is. Outrageous.

President @realDonaldTrump is saying it “none of your business” what he says to President Putin?!

If we can't count on President Trump, Congress must act to protect our elections.

@SenateMajLdr McConnell: It’s time to give election security a vote. Now. https://t.co/Ki39Q9wkeg"
124,"@The_Trump_Train @realDonaldTrump @NBCNews @MSNBC 2,564 dumbasses"
125,"As president, I would make sure our country gets back on the 2015 Iran Deal. We can't afford another forever war, and I’m fighting to stop Donald Trump from dragging us into another one. #DemDebate"
126,"Trump’s pick for ICE director: “I can tell which migrant children will become gang members by looking into their eyes”

I think it’s more likely that he’s looking at their skin. 

🤬🤬🤬🤬🤬🤬🤬🤬🤬

https://t.co/xau6AGP2Ep"
